字段1,字段1_link,字段2,字段3,字段4,字段5
Senior Court Judges' Associate,https://www.seek.co.nz/job/50631607?type=standout#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,Ministry of Justice,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"3d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Sales Support Administrator,https://www.seek.co.nz/job/50629084?type=standout#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,Tribe (New Zealand) Limited,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Team Administrator,https://www.seek.co.nz/job/50576272?type=standout#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,WSP,location: CanterburyCanterburyarea: ChristchurchChristchurch,"12d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Front Desk Role Medical Rec,https://www.seek.co.nz/job/50597473?type=standard#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,Equilibrium,location: TasmanTasmanarea: NelsonNelson,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Service Support Administrator,https://www.seek.co.nz/job/50589122?type=standard#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,Rentokil Initial New Zealand,location: AucklandAuckland,"10d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Team Admin,https://www.seek.co.nz/job/50640397?type=standout#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,Madison Recruitment Limited,location: WellingtonWellingtonarea: Hutt ValleyHutt Valley,"11m ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Business Support Administrator - Part time,https://www.seek.co.nz/job/50584591?type=standout#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,Pan Pac Forest Products Limited,location: Hawkes BayHawkes Bayarea: NapierNapier,"11d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Capital Projects Administrator - Fixed Term,https://www.seek.co.nz/job/50605248?type=standout#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,Delegat,location: AucklandAucklandarea: Auckland CentralAuckland Central,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Team Leader,https://www.seek.co.nz/job/50608494?type=standard#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,Randstad - Business Support,"location: WellingtonWellington,$75k - $85k p.a.","6d ago,at",$75k - $85k p.a.
Referrals and Onboarding Coordinator,https://www.seek.co.nz/job/50580017?type=standout#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,HealthCare NZ,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,"11d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Executive Assistant,https://www.seek.co.nz/job/50629518?type=standout#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,Jordan Financial Planning NZ Ltd,location: WellingtonWellingtonarea: Hutt ValleyHutt Valley,"3d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Māori Impact Coordinator - ESR,https://www.seek.co.nz/job/50625155?type=standout#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,ESR,location: WellingtonWellingtonarea: Porirua & Kapiti CoastPorirua & Kapiti Coast,"4d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Real Estate Personal Assistant,https://www.seek.co.nz/job/50587780?type=standard#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,Ray White,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,"10d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Administrator - 6 month contract,https://www.seek.co.nz/job/50617790?type=standard#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,Hays Office Support,"location: AucklandAucklandarea: Auckland CentralAuckland Central,$24 - $25 + 8% holiday pay!","5d ago,at",$24 - $25 + 8% holiday pay!
Personal Assistant,https://www.seek.co.nz/job/50580084?type=standard#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,Lance Lawson,location: Bay of PlentyBay of Plentyarea: RotoruaRotorua,"11d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
PA Team Adminstrator,https://www.seek.co.nz/job/50606833?type=standout#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,"Ministry of Business, Innovation and Employment",location: WellingtonWellingtonarea: Wellington CentralWellington Central,"6d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
"Administrator - Accounts, Sales & Marketing",https://www.seek.co.nz/job/50610697?type=standard#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,Agilis Vets,location: CanterburyCanterburyarea: Timaru & South CanterburyTimaru & South Canterbury,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Medical Secretary,https://www.seek.co.nz/job/50617211?type=standout#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,Southern District Health Board,location: OtagoOtagoarea: DunedinDunedin,"5d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Reception and Accounts Receivable Administrator,https://www.seek.co.nz/job/50556351?type=standout#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,The Tasman Tanning Company Limited,location: ManawatuManawatuarea: WanganuiWanganui,"14d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Candidate Manager / Administrator,https://www.seek.co.nz/job/50600168?type=standout#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,RobLawMax Recruitment,location: WellingtonWellingtonarea: Porirua & Kapiti CoastPorirua & Kapiti Coast,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Customer Service /Sales/Admin,https://www.seek.co.nz/job/50557862?type=standard#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,,"location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,$40,000 - $49,999","14d ago,at,Private Advertiser","$40,000 - $49,999"
Team Administrator,https://www.seek.co.nz/job/50629442?type=standout#searchRequestToken=08ea2732-ab51-473a-89d3-a5193b745fec,Kinetic Recruitment,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,$50,000 per annum.","3d ago,at","$50,000 per annum."
Administrator - Research Support,https://www.seek.co.nz/job/50576214?type=standout#searchRequestToken=c8c4ebcd-148a-44e0-82bb-eb20252f3a5e,Massey University,location: ManawatuManawatuarea: Palmerston NorthPalmerston North,"12d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Contracts Administrator,https://www.seek.co.nz/job/50567115?type=standard#searchRequestToken=c8c4ebcd-148a-44e0-82bb-eb20252f3a5e,Lakes District Health Board,location: Bay of PlentyBay of Plentyarea: RotoruaRotorua,"13d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration
"Adviser, Funding Services",https://www.seek.co.nz/job/50616885?type=standout#searchRequestToken=c8c4ebcd-148a-44e0-82bb-eb20252f3a5e,JacksonStone & Partners,location: AucklandAucklandarea: Auckland CentralAuckland Central,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
"Administrative Support Position Part-time, Temporary",https://www.seek.co.nz/job/50552041?type=standout#searchRequestToken=c8c4ebcd-148a-44e0-82bb-eb20252f3a5e,PGF Group,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"17d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Executive Assistant to the Chief Executive,https://www.seek.co.nz/job/50589126?type=standout#searchRequestToken=c8c4ebcd-148a-44e0-82bb-eb20252f3a5e,Hutt City Council,location: WellingtonWellingtonarea: Hutt ValleyHutt Valley,"10d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
"Adviser, Funding Services",https://www.seek.co.nz/job/50616869?type=standout#searchRequestToken=c8c4ebcd-148a-44e0-82bb-eb20252f3a5e,JacksonStone & Partners,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Project Coordinator,https://www.seek.co.nz/job/50613874?type=standout#searchRequestToken=c8c4ebcd-148a-44e0-82bb-eb20252f3a5e,Vodafone New Zealand,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration
Sales Administrator,https://www.seek.co.nz/job/50621062?type=standout#searchRequestToken=c8c4ebcd-148a-44e0-82bb-eb20252f3a5e,Bayleys Realty Group,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,"4d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Word Processor,https://www.seek.co.nz/job/50580156?type=standout#searchRequestToken=c8c4ebcd-148a-44e0-82bb-eb20252f3a5e,Dentons Kensington Swan,location: AucklandAucklandarea: Auckland CentralAuckland Central,"11d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Data Entry & Word ProcessingData Entry & Word Processing
Duty Collection Agent,https://www.seek.co.nz/job/50627457?type=standout#searchRequestToken=c8c4ebcd-148a-44e0-82bb-eb20252f3a5e,Adecco Office,"location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,bonus plus medical insurance","4d ago,at",bonus plus medical insurance
Childrens Team Coordinator - Oranga Tamariki,https://www.seek.co.nz/job/50602215?type=standout#searchRequestToken=c8c4ebcd-148a-44e0-82bb-eb20252f3a5e,Oranga Tamariki,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Office Administrator,https://www.seek.co.nz/job/50547024?type=standout#searchRequestToken=c8c4ebcd-148a-44e0-82bb-eb20252f3a5e,Base Up,location: AucklandAucklandarea: Auckland CentralAuckland Central,"17d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Team Administrator (permanent and fixed term),https://www.seek.co.nz/job/50576174?type=standout#searchRequestToken=c8c4ebcd-148a-44e0-82bb-eb20252f3a5e,WSP,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"12d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
School Administration Manager,https://www.seek.co.nz/job/50519739?type=standard#searchRequestToken=c8c4ebcd-148a-44e0-82bb-eb20252f3a5e,Hare Krishna School,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,"21d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management
